TYPE-REPO_ACTIVO;REPO_ACTIVO;Activo
TYPE-REPO_ALIAS;REPO_ALIAS;Alias
TYPE-REPO_ALN;REPO_ALN;Aplicacion BKS LN
TYPE-REPO_ALP;REPO_ALP;Aplicacion BKS LP
TYPE-REPO_APL2;REPO_APL2;Aplicacion BKS 2
TYPE-REPO_APLICF;REPO_APLICF;Aplicacion Funcional (Thomas)
TYPE-REPO_APLICF_FECHA;REPO_APLICF_FECHA;Aplicacion Funcional (Thomas) - Fecha
TYPE-REPO_APLICF_VERS;REPO_APLICF_VERS;Aplicacion Funcional - Version (Thomas)
TYPE-REPO_APLINF;REPO_APLINF;Aplicacion Informatica
TYPE-REPO_AREA;REPO_AREA;Area
TYPE-REPO_CB;REPO_CB;ContexBeen
TYPE-REPO_CLIE;REPO_CLIE;Cliente
TYPE-REPO_CLIE_ENTOR;REPO_CLIE_ENTOR;Cliente_Entorno
TYPE-REPO_CLIE_ENTOR_TIMEST;REPO_CLIE_ENTOR_TIMEST;Tiemstap entorno y cliente
TYPE-REPO_CLIE_FECHA_ENV;REPO_CLIE_FECHA_ENV;Fecha Envio a Cliente
TYPE-REPO_COMP_ADAP;REPO_COMP_ADAP;Componente Adapter
TYPE-REPO_COMP_JAVA;REPO_COMP_JAVA;Componente Java
TYPE-REPO_COMP_SQL;REPO_COMP_SQL;Componente SQL
TYPE-REPO_COMPOS;REPO_COMPOS;Composicion
TYPE-REPO_CONCEP_MULTI;REPO_CONCEP_MULTI;Concepto Multiidioma
TYPE-REPO_CONTEX;REPO_CONTEX;Contextos
TYPE-REPO_DALN;REPO_DALN;Definicion Aplicacion BKS (ALN)
TYPE-REPO_DALP;REPO_DALP;Definicion Aplicacion BKS (ALP)
TYPE-REPO_DAPL2;REPO_DAPL2;Definicion Aplicacion BKS 2
TYPE-REPO_DCOMP_ADAP;REPO_DCOMP_ADAP;Definicion Componente appAdapter
TYPE-REPO_DCOMP_JAVA;REPO_DCOMP_JAVA;Definicion Componente Java
TYPE-REPO_DCOMP_SQL;REPO_DCOMP_SQL;Definicion Componente SQL
TYPE-REPO_DEFAPL;REPO_DEFAPL;Servicio
TYPE-REPO_DENS;REPO_DENS;Definicion Ensamblados
TYPE-REPO_DESC;REPO_DESC;Definicion Escenario
TYPE-REPO_DFAC_PRI;REPO_DFAC_PRI;Definicion Fachadas Privadas
TYPE-REPO_DFAC_PUB;REPO_DFAC_PUB;Definicion Fachadas Publicas
TYPE-REPO_DIFAC;REPO_DIFAC;Definicion Interfaz de Fachada
TYPE-REPO_DMLN;REPO_DMLN;Definicion MLN
TYPE-REPO_DMLP;REPO_DMLP;Definicion MLP
TYPE-REPO_DOPER;REPO_DOPER;Definicion Operacion
TYPE-REPO_DPROY;REPO_DPROY;Definicion Proyecto Fachada
TYPE-REPO_DWEB;REPO_DWEB;Definicion Adaptador WEB
TYPE-REPO_ENS;REPO_ENS;Ensamblados
TYPE-REPO_ENTOR;REPO_ENTOR;Entorno
TYPE-REPO_ESC;REPO_ESC;Escenario
TYPE-REPO_ESTADO_OI;REPO_ESTADO_OI;Estado_OI
TYPE-REPO_ESTADO_OP;REPO_ESTADO_OP;Estado_OP
TYPE-REPO_ESTADO_SAT;REPO_ESTADO_SAT;Estado SAT
TYPE-REPO_ESTADO_TRXO;REPO_ESTADO_TRXO;Estado TRXO
TYPE-REPO_ESTADO_WEB;REPO_ESTADO_WEB;Estado_web
TYPE-REPO_EXCF;REPO_EXCF;Excepciones Funcionales
TYPE-REPO_FACPRI;REPO_FACPRI;Fachada Privada
TYPE-REPO_FACPUB;REPO_FACPUB;Fachada Publica
TYPE-REPO_IFAC;REPO_IFAC;Interfaz de Fachada
TYPE-REPO_METHCOMP;REPO_METHCOMP;Metodo de Componente
TYPE-REPO_METHIFAC;REPO_METHIFAC;Metodo IFAC
TYPE-REPO_MOD;REPO_MOD;Modulos LN
TYPE-REPO_MOD2;REPO_MOD2;Modulos LP
TYPE-REPO_OI;REPO_OI;Operacion Interna
TYPE-REPO_OP;REPO_OP;Operacion Presentación
TYPE-REPO_PARA;REPO_PARA;Parametros
TYPE-REPO_PREENS;REPO_PREENS;Pre-Ensamblados
TYPE-REPO_PROTOCOLO;REPO_PROTOCOLO;Protocolo
TYPE-REPO_PROY;REPO_PROY;Proyecto
TYPE-REPO_SISTEM;REPO_SISTEM;SubSistema
TYPE-REPO_SQL;REPO_SQL;Consultas que usan los Componentes SQL
TYPE-REPO_TDC;REPO_TDC;TDC
TYPE-REPO_TIPD;REPO_TIPD;Tipo de Dato
TYPE-REPO_TIPDL;REPO_TIPDL;Tipo Dato Logico
TYPE-REPO_TIPDMF;REPO_TIPDMF;Tipo Dato Modelo Fisico
TYPE-REPO_TIPDML;REPO_TIPDML;Tipo Dato Modelo Logico
TYPE-REPO_TRANS;REPO_TRANS;Transporte
TYPE-REPO_TRXO;REPO_TRXO;Transaccion_operacion
TYPE-REPO_USUARIO;REPO_USUARIO;Usuario
TYPE-REPO_WEB;REPO_WEB;Adaptador de Canal
TYPE-REPO_WEB_METH;REPO_WEB_METH;Adaptador Web / Metodos referenciados
TYPE-REPO_WSDL;REPO_WSDL;WSDL
